Folder (root),Wzorzec plików,asset_role,media_type (dopuszczalne),Opis biznesowy,Uwaga
- BRANDING i MARKA -,*,brand_asset,vector/image,"Logo, kolory, fonty, brandbook – tożsamość marki DK/GC","Zawsze media_type wg pliku (logo.ai=vector, logo.png=image)"
01 - PRODUKTY / .../1 - MATERIAŁY,KARTA WPROWADZENIA*,document_spec,document,"Karta wprowadzenia produktu, dane od Marka/Ewy W.","Nigdy nie jest packshotem, zawsze document"
01 - PRODUKTY / .../1 - MATERIAŁY,"ELEMENTY, ZDJĘCIA",product_photo,image/source,"Zdjęcia surowe, elementy graficzne do złożenia opakowania",
01 - PRODUKTY / .../2 - PROJEKT,"*.ai, *.psd robocze",artwork_source,source/vector,Plik roboczy projektu opakowania (przed drukiem),"media_type=source dla psd/psb, vector dla ai"
01 - PRODUKTY / .../3 - DRUK,*.pdf do druku,print_ready,document/vector,Plik finalny do drukarni (offset/flexo),"XL, brak kompresji"
01 - PRODUKTY / .../4 - WIZKI,ENFACE/FRONT/BACK-XL/L/S,packshot,image,Wizualizacja opakowania – perspektywa jako osobne pole,"perspective + size to metadane, nie osobny typ"
01 - PRODUKTY / 01 - WYKROJNIKI,"fol_jedn_*, kar_zbior_*",packaging_die,vector/document,Wykrojnik – kontur cięcia materiału,"Zawsze wektor/PDF, nigdy raster"
01 - PRODUKTY / 03 - OPAKOWANIA ZBIORCZE,DK_karton_*_face_*.pdf,bulk_packaging_spec,document/vector,Specyfikacja kartonu/tacki zbiorczej (wymiary płaskie),Źródło dla bulk-packaging.json
01 - PRODUKTY / 04 - MATRYCE-MOCKUPY,848x1200 szablony,mockup_template,image/source,Szablon do generowania grafik zestawów,
01 - PRODUKTY / - Marki Własne,ALDI/BIEDRONKA/LIDL,private_label_artwork,vector/image,Artwork pod marki własne sieci handlowych,"Osobny brand tag, nie DK/GC"
03 - MATERIAŁY GRAFICZNE,PG BRANDING,brand_asset,vector/document,"Brandbook – kolory HEX, fonty, logo guidelines",
03 - MATERIAŁY GRAFICZNE,01 SESJE-ZDJĘCIA,product_photo,image,Fotografia produktowa profesjonalna,
03 - MATERIAŁY GRAFICZNE,02 POS,pos_material,image/vector/document,"Materiały punktu sprzedaży (standy, wobblery)",
03 - MATERIAŁY GRAFICZNE,03 OUTDOOR,outdoor_material,image/document,"Billboardy, reklama zewnętrzna",
05 - SOCIAL MEDIA,WIDEO-FILMY-ANIMACJE,social_video,video,"Zawsze media_type=video, nigdy statyczna miniatura jako substytut",
05 - SOCIAL MEDIA,"WSPÓŁPRACE, KONKURSY",social_asset,image/video,Assety kampanii influencerskich/konkursowych,tag kanału: instagram/tiktok
06 - STRONY WWW,02 SLIDERY KATEGORIE,web_banner,image,Banery kategorii sklepu (SUCHE/MOKRE),
06 - STRONY WWW,04 GRAFIKI DO ZESTAWÓW,web_bundle_tile,image,Kafel 848x1200 do zestawów produktowych,
06 - STRONY WWW,05 GRAFIKI PRODUKTÓW,web_product_tile,image,Grafika pojedynczego produktu do sklepu,
06 - STRONY WWW,06 SLIDERY NA GŁÓWNĄ,web_hero_slider,image,Slider strony głównej wg kampanii,
07 - E-COMMERCE,kampanie e-commerce,ecommerce_ad,image/video,"Format reklamowy Google/Meta (1200x1200, 1200x628 itd.)","size z nazwy = ad_format, nie osobny typ"
08 - KAMAPANIE,"KV, STATYKI, VIDEO",key_visual,image/video/vector,Główny visual kampanii rocznej,Link do campaign_id obowiązkowy
